Metoda;Krok_Typ;h0;Iteracja;x0_1;x0_2;x_opt_1;x_opt_2;y_opt;f_calls;g_calls;H_calls;Status
SD;Staly 0.25;0.25;4;1.00188;-0.0873675;5.17464e-07;-1.24927e-06;1.44976e-12;29;28;0;1
SD;Staly 0.25;0.25;5;-1.7739;0.137154;-1.64482;0.854681;0.350552;10001;10000;0;0
SD;Staly 0.25;0.25;6;-0.052814;1.17268;-5.26147e-07;1.27023e-06;1.49882e-12;28;27;0;1
SD;Staly 0.25;0.25;7;-0.727136;-0.558241;3.76013e-07;-9.07775e-07;7.65492e-13;17;16;0;1
SD;Staly 0.25;0.25;8;-1.76264;-1.65504;-4.50351e-07;1.08724e-06;1.09809e-12;30;29;0;1
SD;Staly 0.25;0.25;9;1.42055;-1.3403;1.58996;-0.883666;0.414199;10001;10000;0;0
SD;Staly 0.25;0.25;10;-0.609583;-1.94618;4.10209e-07;-9.90331e-07;9.11056e-13;29;28;0;1
SD;Staly 0.25;0.25;11;-1.79949;0.00847795;-1.75411;0.773138;0.309691;10001;10000;0;0
SD;Staly 0.25;0.25;12;-0.394064;1.31691;-4.18501e-07;1.01035e-06;9.48264e-13;29;28;0;1
SD;Staly 0.25;0.25;13;-1.70066;-1.19943;-1.42919;0.879368;0.641249;10001;10000;0;0
SD;Staly 0.25;0.25;14;0.0427069;-1.15833;5.17443e-07;-1.24922e-06;1.44964e-12;28;27;0;1
SD;Staly 0.25;0.25;15;-0.494545;-1.1863;3.86842e-07;-9.3392e-07;8.10221e-13;28;27;0;1
SD;Staly 0.25;0.25;16;1.71473;0.128418;1.84496;-0.756467;0.391751;10001;10000;0;0
SD;Staly 0.25;0.25;17;1.23411;1.81914;4.36464e-07;-1.05372e-06;1.03141e-12;24;23;0;1
SD;Staly 0.25;0.25;18;0.512957;-1.52608;5.37884e-07;-1.29857e-06;1.56643e-12;29;28;0;1
SD;Staly 0.25;0.25;19;0.242073;0.975962;-3.75554e-07;9.06667e-07;7.63625e-13;28;27;0;1
SD;Staly 0.25;0.25;20;0.162441;-1.04787;4.89109e-07;-1.18081e-06;1.29523e-12;28;27;0;1
SD;Staly 0.25;0.25;21;0.853264;0.781966;-4.53282e-07;1.09432e-06;1.11243e-12;19;18;0;1
SD;Staly 0.25;0.25;22;0.915426;-0.865609;5.20019e-07;-1.25544e-06;1.46411e-12;30;29;0;1
SD;Staly 0.25;0.25;23;-1.47152;-1.29699;-1.6809;0.878486;0.323;10001;10000;0;0
SD;Staly 0.25;0.25;24;-1.23142;-0.480793;-4.01629e-07;9.69619e-07;8.73345e-13;34;33;0;1
