Czas;VA;VB;TB
727;0.673274;2.12653;42.4555
728;0.670082;2.12514;42.4288
729;0.666898;2.12375;42.4021
730;0.663722;2.12236;42.3754
731;0.660553;2.12096;42.3486
732;0.657392;2.11956;42.3217
733;0.654238;2.11816;42.2949
734;0.651092;2.11675;42.268
735;0.647954;2.11534;42.241
736;0.644823;2.11393;42.2141
737;0.6417;2.11252;42.187
738;0.638584;2.1111;42.16
739;0.635476;2.10968;42.1329
740;0.632375;2.10826;42.1058
741;0.629283;2.10684;42.0786
742;0.626197;2.10541;42.0514
743;0.623119;2.10398;42.0241
744;0.620049;2.10255;41.9968
745;0.616987;2.10111;41.9695
746;0.613932;2.09968;41.9421
747;0.610884;2.09824;41.9147
748;0.607844;2.09679;41.8872
749;0.604812;2.09535;41.8597
750;0.601787;2.0939;41.8322
751;0.59877;2.09245;41.8046
752;0.595761;2.091;41.777
753;0.592759;2.08954;41.7493
754;0.589764;2.08808;41.7216
755;0.586777;2.08662;41.6939
756;0.583798;2.08516;41.6661
757;0.580827;2.08369;41.6383
758;0.577863;2.08222;41.6104
759;0.574906;2.08075;41.5825
760;0.571957;2.07928;41.5546
761;0.569016;2.0778;41.5266
762;0.566082;2.07632;41.4985
763;0.563156;2.07484;41.4705
764;0.560238;2.07336;41.4424
765;0.557327;2.07188;41.4142
766;0.554423;2.07039;41.386
767;0.551527;2.0689;41.3578
768;0.548639;2.0674;41.3295
769;0.545759;2.06591;41.3012
770;0.542886;2.06441;41.2729
771;0.54002;2.06291;41.2445
772;0.537162;2.06141;41.2161
773;0.534312;2.0599;41.1876
774;0.531469;2.0584;41.1591
775;0.528634;2.05689;41.1305
776;0.525806;2.05538;41.1019
777;0.522986;2.05386;41.0733
778;0.520174;2.05235;41.0446
779;0.517369;2.05083;41.0159
780;0.514572;2.04931;40.9871
781;0.511782;2.04778;40.9583
782;0.509;2.04626;40.9294
783;0.506226;2.04473;40.9006
784;0.503459;2.0432;40.8716
785;0.5007;2.04167;40.8427
786;0.497948;2.04013;40.8136
787;0.495204;2.0386;40.7846
788;0.492467;2.03706;40.7555
789;0.489738;2.03552;40.7263
790;0.487017;2.03398;40.6972
791;0.484303;2.03243;40.6679
792;0.481597;2.03088;40.6387
793;0.478898;2.02933;40.6094
794;0.476207;2.02778;40.58
795;0.473523;2.02623;40.5506
796;0.470847;2.02467;40.5212
797;0.468179;2.02311;40.4917
798;0.465518;2.02155;40.4622
799;0.462865;2.01999;40.4326
800;0.46022;2.01843;40.403
801;0.457582;2.01686;40.3734
802;0.454951;2.01529;40.3437
803;0.452328;2.01372;40.314
804;0.449713;2.01215;40.2842
805;0.447105;2.01058;40.2544
806;0.444505;2.009;40.2245
807;0.441913;2.00742;40.1946
808;0.439328;2.00584;40.1647
809;0.436751;2.00426;40.1347
810;0.434181;2.00267;40.1046
811;0.431619;2.00109;40.0746
812;0.429064;1.9995;40.0444
813;0.426517;1.99791;40.0143
814;0.423978;1.99631;39.9841
815;0.421446;1.99472;39.9538
816;0.418921;1.99312;39.9235
817;0.416405;1.99152;39.8932
818;0.413896;1.98992;39.8628
819;0.411394;1.98832;39.8324
820;0.4089;1.98672;39.8019
821;0.406414;1.98511;39.7714
822;0.403935;1.98351;39.7409
823;0.401464;1.9819;39.7103
824;0.399;1.98028;39.6797
825;0.396544;1.97867;39.649
826;0.394096;1.97706;39.6182
