Czas;VA;VB;TB
403x;-266.231x;213.631x;19804.8x
404x;-266.231x;213.495x;19803.9x
405x;-266.231x;213.359x;19803x
406x;-266.231x;213.223x;19802.1x
407x;-266.231x;213.087x;19801.1x
408x;-266.231x;212.951x;19800.2x
409x;-266.231x;212.815x;19799.3x
410x;-266.231x;212.679x;19798.3x
411x;-266.231x;212.543x;19797.4x
412x;-266.231x;212.408x;19796.5x
413x;-266.231x;212.272x;19795.5x
414x;-266.231x;212.136x;19794.6x
415x;-266.231x;212.001x;19793.7x
416x;-266.231x;211.865x;19792.8x
417x;-266.231x;211.729x;19791.8x
418x;-266.231x;211.594x;19790.9x
419x;-266.231x;211.459x;19789.9x
420x;-266.231x;211.323x;19789x
421x;-266.231x;211.188x;19788.1x
422x;-266.231x;211.053x;19787.1x
423x;-266.231x;210.917x;19786.2x
424x;-266.231x;210.782x;19785.3x
425x;-266.231x;210.647x;19784.3x
426x;-266.231x;210.512x;19783.4x
427x;-266.231x;210.377x;19782.5x
428x;-266.231x;210.242x;19781.5x
429x;-266.231x;210.107x;19780.6x
430x;-266.231x;209.972x;19779.6x
431x;-266.231x;209.837x;19778.7x
432x;-266.231x;209.702x;19777.7x
433x;-266.231x;209.567x;19776.8x
434x;-266.231x;209.433x;19775.9x
435x;-266.231x;209.298x;19774.9x
436x;-266.231x;209.163x;19774x
437x;-266.231x;209.029x;19773x
438x;-266.231x;208.894x;19772.1x
439x;-266.231x;208.76x;19771.1x
440x;-266.231x;208.625x;19770.2x
441x;-266.231x;208.491x;19769.2x
442x;-266.231x;208.356x;19768.3x
443x;-266.231x;208.222x;19767.3x
444x;-266.231x;208.088x;19766.4x
445x;-266.231x;207.953x;19765.5x
446x;-266.231x;207.819x;19764.5x
447x;-266.231x;207.685x;19763.6x
448x;-266.231x;207.551x;19762.6x
449x;-266.231x;207.417x;19761.6x
450x;-266.231x;207.283x;19760.7x
451x;-266.231x;207.149x;19759.7x
452x;-266.231x;207.015x;19758.8x
453x;-266.231x;206.881x;19757.8x
454x;-266.231x;206.748x;19756.9x
455x;-266.231x;206.614x;19755.9x
456x;-266.231x;206.48x;19755x
457x;-266.231x;206.346x;19754x
458x;-266.231x;206.213x;19753.1x
459x;-266.231x;206.079x;19752.1x
460x;-266.231x;205.946x;19751.1x
461x;-266.231x;205.812x;19750.2x
462x;-266.231x;205.679x;19749.2x
463x;-266.231x;205.545x;19748.3x
464x;-266.231x;205.412x;19747.3x
465x;-266.231x;205.279x;19746.3x
466x;-266.231x;205.145x;19745.4x
467x;-266.231x;205.012x;19744.4x
468x;-266.231x;204.879x;19743.5x
469x;-266.231x;204.746x;19742.5x
470x;-266.231x;204.613x;19741.5x
471x;-266.231x;204.48x;19740.6x
472x;-266.231x;204.347x;19739.6x
473x;-266.231x;204.214x;19738.6x
474x;-266.231x;204.081x;19737.7x
475x;-266.231x;203.948x;19736.7x
476x;-266.231x;203.815x;19735.7x
477x;-266.231x;203.683x;19734.8x
478x;-266.231x;203.55x;19733.8x
479x;-266.231x;203.417x;19732.8x
480x;-266.231x;203.285x;19731.9x
481x;-266.231x;203.152x;19730.9x
482x;-266.231x;203.02x;19729.9x
483x;-266.231x;202.887x;19729x
484x;-266.231x;202.755x;19728x
485x;-266.231x;202.622x;19727x
486x;-266.231x;202.49x;19726x
487x;-266.231x;202.358x;19725.1x
488x;-266.231x;202.226x;19724.1x
489x;-266.231x;202.093x;19723.1x
490x;-266.231x;201.961x;19722.1x
491x;-266.231x;201.829x;19721.2x
492x;-266.231x;201.697x;19720.2x
493x;-266.231x;201.565x;19719.2x
494x;-266.231x;201.433x;19718.2x
495x;-266.231x;201.301x;19717.3x
496x;-266.231x;201.169x;19716.3x
497x;-266.231x;201.038x;19715.3x
498x;-266.231x;200.906x;19714.3x
499x;-266.231x;200.774x;19713.3x
500x;-266.231x;200.643x;19712.4x
501x;-266.231x;200.511x;19711.4x
502x;-266.231x;200.379x;19710.4x
503x;-266.231x;200.248x;19709.4x
504x;-266.231x;200.116x;19708.4x
505x;-266.231x;199.985x;19707.4x
506x;-266.231x;199.853x;19706.5x
507x;-266.231x;199.722x;19705.5x
508x;-266.231x;199.591x;19704.5x
509x;-266.231x;199.46x;19703.5x
510x;-266.231x;199.328x;19702.5x
511x;-266.231x;199.197x;19701.5x
512x;-266.231x;199.066x;19700.5x
513x;-266.231x;198.935x;19699.5x
514x;-266.231x;198.804x;19698.6x
515x;-266.231x;198.673x;19697.6x
516x;-266.231x;198.542x;19696.6x
517x;-266.231x;198.411x;19695.6x
518x;-266.231x;198.28x;19694.6x
519x;-266.231x;198.15x;19693.6x
520x;-266.231x;198.019x;19692.6x
521x;-266.231x;197.888x;19691.6x
522x;-266.231x;197.757x;19690.6x
523x;-266.231x;197.627x;19689.6x
524x;-266.231x;197.496x;19688.6x
525x;-266.231x;197.366x;19687.6x
526x;-266.231x;197.235x;19686.6x
527x;-266.231x;197.105x;19685.6x
528x;-266.231x;196.975x;19684.6x
529x;-266.231x;196.844x;19683.6x
530x;-266.231x;196.714x;19682.6x
531x;-266.231x;196.584x;19681.6x
532x;-266.231x;196.454x;19680.6x
533x;-266.231x;196.323x;19679.6x
534x;-266.231x;196.193x;19678.6x
535x;-266.231x;196.063x;19677.6x
536x;-266.231x;195.933x;19676.6x
537x;-266.231x;195.803x;19675.6x
538x;-266.231x;195.673x;19674.6x
539x;-266.231x;195.544x;19673.6x
540x;-266.231x;195.414x;19672.6x
541x;-266.231x;195.284x;19671.6x
542x;-266.231x;195.154x;19670.6x
543x;-266.231x;195.025x;19669.6x
544x;-266.231x;194.895x;19668.6x
545x;-266.231x;194.765x;19667.6x
546x;-266.231x;194.636x;19666.6x
547x;-266.231x;194.506x;19665.6x
548x;-266.231x;194.377x;19664.6x
549x;-266.231x;194.248x;19663.5x
550x;-266.231x;194.118x;19662.5x
551x;-266.231x;193.989x;19661.5x
552x;-266.231x;193.86x;19660.5x
553x;-266.231x;193.73x;19659.5x
554x;-266.231x;193.601x;19658.5x
555x;-266.231x;193.472x;19657.5x
556x;-266.231x;193.343x;19656.4x
557x;-266.231x;193.214x;19655.4x
558x;-266.231x;193.085x;19654.4x
559x;-266.231x;192.956x;19653.4x
560x;-266.231x;192.827x;19652.4x
561x;-266.231x;192.698x;19651.4x
562x;-266.231x;192.57x;19650.3x
563x;-266.231x;192.441x;19649.3x
564x;-266.231x;192.312x;19648.3x
565x;-266.231x;192.183x;19647.3x
566x;-266.231x;192.055x;19646.3x
567x;-266.231x;191.926x;19645.2x
568x;-266.231x;191.798x;19644.2x
569x;-266.231x;191.669x;19643.2x
570x;-266.231x;191.541x;19642.2x
571x;-266.231x;191.413x;19641.1x
572x;-266.231x;191.284x;19640.1x
573x;-266.231x;191.156x;19639.1x
574x;-266.231x;191.028x;19638.1x
575x;-266.231x;190.9x;19637x
576x;-266.231x;190.771x;19636x
577x;-266.231x;190.643x;19635x
578x;-266.231x;190.515x;19634x
579x;-266.231x;190.387x;19632.9x
580x;-266.231x;190.259x;19631.9x
581x;-266.231x;190.131x;19630.9x
582x;-266.231x;190.003x;19629.8x
583x;-266.231x;189.876x;19628.8x
584x;-266.231x;189.748x;19627.8x
585x;-266.231x;189.62x;19626.7x
586x;-266.231x;189.492x;19625.7x
587x;-266.231x;189.365x;19624.7x
588x;-266.231x;189.237x;19623.6x
589x;-266.231x;189.11x;19622.6x
590x;-266.231x;188.982x;19621.5x
591x;-266.231x;188.855x;19620.5x
592x;-266.231x;188.727x;19619.5x
593x;-266.231x;188.6x;19618.4x
594x;-266.231x;188.473x;19617.4x
595x;-266.231x;188.345x;19616.4x
596x;-266.231x;188.218x;19615.3x
597x;-266.231x;188.091x;19614.3x
598x;-266.231x;187.964x;19613.2x
599x;-266.231x;187.837x;19612.2x
600x;-266.231x;187.71x;19611.1x
601x;-266.231x;187.583x;19610.1x
602x;-266.231x;187.456x;19609.1x
603x;-266.231x;187.329x;19608x
604x;-266.231x;187.202x;19607x
605x;-266.231x;187.075x;19605.9x
606x;-266.231x;186.949x;19604.9x
607x;-266.231x;186.822x;19603.8x
608x;-266.231x;186.695x;19602.8x
609x;-266.231x;186.569x;19601.7x
610x;-266.231x;186.442x;19600.7x
611x;-266.231x;186.316x;19599.6x
612x;-266.231x;186.189x;19598.6x
613x;-266.231x;186.063x;19597.5x
614x;-266.231x;185.936x;19596.5x
615x;-266.231x;185.81x;19595.4x
616x;-266.231x;185.684x;19594.4x
617x;-266.231x;185.557x;19593.3x
618x;-266.231x;185.431x;19592.3x
619x;-266.231x;185.305x;19591.2x
620x;-266.231x;185.179x;19590.1x
621x;-266.231x;185.053x;19589.1x
622x;-266.231x;184.927x;19588x
623x;-266.231x;184.801x;19587x
624x;-266.231x;184.675x;19585.9x
625x;-266.231x;184.549x;19584.8x
626x;-266.231x;184.423x;19583.8x
627x;-266.231x;184.298x;19582.7x
628x;-266.231x;184.172x;19581.7x
629x;-266.231x;184.046x;19580.6x
630x;-266.231x;183.92x;19579.5x
631x;-266.231x;183.795x;19578.5x
632x;-266.231x;183.669x;19577.4x
633x;-266.231x;183.544x;19576.3x
634x;-266.231x;183.418x;19575.3x
635x;-266.231x;183.293x;19574.2x
636x;-266.231x;183.168x;19573.1x
637x;-266.231x;183.042x;19572.1x
638x;-266.231x;182.917x;19571x
639x;-266.231x;182.792x;19569.9x
640x;-266.231x;182.667x;19568.9x
641x;-266.231x;182.541x;19567.8x
642x;-266.231x;182.416x;19566.7x
643x;-266.231x;182.291x;19565.7x
644x;-266.231x;182.166x;19564.6x
645x;-266.231x;182.041x;19563.5x
646x;-266.231x;181.917x;19562.4x
647x;-266.231x;181.792x;19561.4x
648x;-266.231x;181.667x;19560.3x
649x;-266.231x;181.542x;19559.2x
650x;-266.231x;181.417x;19558.1x
651x;-266.231x;181.293x;19557.1x
652x;-266.231x;181.168x;19556x
653x;-266.231x;181.044x;19554.9x
654x;-266.231x;180.919x;19553.8x
655x;-266.231x;180.795x;19552.7x
656x;-266.231x;180.67x;19551.7x
657x;-266.231x;180.546x;19550.6x
658x;-266.231x;180.421x;19549.5x
659x;-266.231x;180.297x;19548.4x
660x;-266.231x;180.173x;19547.3x
661x;-266.231x;180.049x;19546.2x
662x;-266.231x;179.924x;19545.2x
663x;-266.231x;179.8x;19544.1x
664x;-266.231x;179.676x;19543x
665x;-266.231x;179.552x;19541.9x
666x;-266.231x;179.428x;19540.8x
667x;-266.231x;179.304x;19539.7x
668x;-266.231x;179.18x;19538.6x
669x;-266.231x;179.057x;19537.5x
670x;-266.231x;178.933x;19536.5x
671x;-266.231x;178.809x;19535.4x
672x;-266.231x;178.685x;19534.3x
673x;-266.231x;178.562x;19533.2x
674x;-266.231x;178.438x;19532.1x
675x;-266.231x;178.315x;19531x
676x;-266.231x;178.191x;19529.9x
677x;-266.231x;178.068x;19528.8x
678x;-266.231x;177.944x;19527.7x
679x;-266.231x;177.821x;19526.6x
680x;-266.231x;177.697x;19525.5x
681x;-266.231x;177.574x;19524.4x
682x;-266.231x;177.451x;19523.3x
683x;-266.231x;177.328x;19522.2x
684x;-266.231x;177.205x;19521.1x
685x;-266.231x;177.082x;19520x
686x;-266.231x;176.959x;19518.9x
687x;-266.231x;176.835x;19517.8x
688x;-266.231x;176.713x;19516.7x
689x;-266.231x;176.59x;19515.6x
690x;-266.231x;176.467x;19514.5x
691x;-266.231x;176.344x;19513.4x
692x;-266.231x;176.221x;19512.3x
693x;-266.231x;176.098x;19511.2x
694x;-266.231x;175.976x;19510.1x
695x;-266.231x;175.853x;19509x
696x;-266.231x;175.731x;19507.9x
697x;-266.231x;175.608x;19506.8x
698x;-266.231x;175.486x;19505.6x
699x;-266.231x;175.363x;19504.5x
700x;-266.231x;175.241x;19503.4x
701x;-266.231x;175.118x;19502.3x
